tab,entity_id,name,type,website,primary_contact_role,linkedin,status,last_touch,owner,notes
IRAs,B.IRA.yourworld,Yourworld Healthcare,IRA — overseas nurse placement,https://www.yourworldhealthcare.com/,Head of International Recruitment,–,Pipeline,–,Paul,Tier 1 (D8 §3.1). Largest UK IRA by nurse-placement volume. NHS Employers Code-of-Practice list.
IRAs,B.IRA.hcl,HCL Workforce Solutions,IRA — overseas nurse + AHP,https://www.hclworkforce.com/,Head of International Recruitment,–,Pipeline,–,Paul,Tier 1. Already bundles English + OSCE. Tech-curious. NHS Employers list.
IRAs,B.IRA.sanctuary,Sanctuary Personnel,IRA — nursing + social work,https://www.sanctuarypersonnel.com/,Head of International Recruitment,–,Pipeline,–,Paul,Tier 1. Wide AHP + social-work flow — adjacency proof. NHS Employers list.
IRAs,B.IRA.greenstaff,Greenstaff Medical,IRA — overseas nurse,https://www.greenstaffmedical.com/,Head of International Recruitment,–,Pipeline,–,Paul,Tier 1. Heavy India / Philippines pipeline. NHS Employers list.
IRAs,B.IRA.globe_locums,Globe Locums,IRA — AHP-heavy,https://www.globelocums.co.uk/,Head of International Recruitment,–,Pipeline,–,Paul,Tier 1. AHP-heavy (HCPC adjacency proof). NHS Employers list.
IRAs,B.IRA.bwa,BWA Medical,IRA — mid-sized nurse,–,Head of International Recruitment,–,Pipeline,–,–,Tier 2 (D8 §3.2). Mid-sized; agile; willing to pilot.
IRAs,B.IRA.pulse,Pulse (BNF Group),IRA — diversified,https://www.pulsejobs.com/,Head of International Recruitment,–,Pipeline,–,–,Tier 2. Diversified; financial discipline. Parent: BNF Group.
IRAs,B.IRA.mediplacements,Mediplacements,IRA — Filipino pipeline,https://www.mediplacements.com/,Head of International Recruitment,–,Pipeline,–,–,Tier 2. Strong Filipino pipeline.
IRAs,B.IRA.trinity,Trinity Group,IRA — mid-tier ops-led,–,Head of International Recruitment,–,Pipeline,–,–,Tier 2. Mid-tier; ops-led.
IRAs,B.IRA.reed_health,Reed Health,IRA — brand-strong mid-tier,https://www.reedhealth.co.uk/,Head of International Recruitment,–,Pipeline,–,–,Tier 2. Brand recognition; large mid-tier.
IRAs,B.IRA.compass,Compass Associates,IRA — specialist segments,https://www.compass-associates.com/,Head of International Recruitment,–,Pipeline,–,–,Tier 2. Specialist segments.
IRAs,B.IRA.healthcare21,HealthCare 21,IRA — mid-tier nurse + AHP,–,Head of International Recruitment,–,Pipeline,–,–,Tier 2. Mid-tier nurse + AHP.
IRAs,B.IRA.mediserve,Mediserve UK,IRA — compliance-disciplined,–,Head of International Recruitment,–,Pipeline,–,–,Tier 2. Compliance-disciplined.
IRAs,B.IRA.tail_317,Tail (~317 remaining agencies),IRA — long-tail,https://www.nhsemployers.org/articles/code-practice-international-recruitment,–,–,Pipeline,–,–,"Tier 3 (D8 §3.3). ~317 remaining agencies on NHS Employers Code-of-Practice list. Pull full list and seed individually during verification window."
Regulators,B.reg.nmc,Nursing and Midwifery Council (NMC),Statutory regulator — nurses + midwives,https://www.nmc.org.uk/,Director of Registration / Director of Strategy,–,–,–,–,"D2 §4.2. 826 k UK registrants; 22–26 k intl joiners / yr."
Regulators,B.reg.gmc,General Medical Council (GMC),Statutory regulator — doctors,https://www.gmc-uk.org/,Director of Registration,–,–,–,–,"D2 §4.2. 334 k UK registrants; 14–16 k intl joiners / yr (PLAB ~3 k)."
Regulators,B.reg.hcpc,Health and Care Professions Council (HCPC),Statutory regulator — 15 AHPs,https://www.hcpc-uk.org/,Director of Registration,–,–,–,–,"D2 §4.2. 340 k UK registrants; 5–7 k intl joiners / yr."
Regulators,B.reg.gphc,General Pharmaceutical Council (GPhC),Statutory regulator — pharmacists,https://www.pharmacyregulation.org/,Director of Registration,–,–,–,–,"D2 §4.2. 70 k UK registrants; 1–2 k intl joiners / yr."
Regulators,B.reg.gdc,General Dental Council (GDC),Statutory regulator — dentists,https://www.gdc-uk.org/,Director of Registration,–,–,–,–,"D2 §4.2. 120 k UK registrants; 1–2 k intl joiners / yr."
Regulators,B.reg.swe,Social Work England (SWE),Statutory regulator — social workers,https://www.socialworkengland.org.uk/,Director of Registration,–,–,–,–,"D2 §4.2. 100 k UK registrants; 2–4 k intl joiners / yr."
Regulators,B.reg.goc,General Optical Council (GOC),Statutory regulator — opticians + optometrists,https://www.optical.org/,Director of Registration,–,–,–,–,"D2 §4.2. Part of ~40 k 'smaller bodies' total."
Regulators,B.reg.gosc,General Osteopathic Council (GOsC),Statutory regulator — osteopaths,https://www.osteopathy.org.uk/,Director of Registration,–,–,–,–,"D2 §4.2. Part of ~40 k 'smaller bodies' total."
Regulators,B.reg.gcc,General Chiropractic Council (GCC),Statutory regulator — chiropractors,https://www.gcc-uk.org/,Director of Registration,–,–,–,–,"D2 §4.2. Part of ~40 k 'smaller bodies' total."
Publishers,A.pub.cup_assess,Cambridge University Press & Assessment (Cambridge UP&A),Publisher + IELTS partner + EFL/ELT,https://www.cambridge.org/,Director of ELT Publishing,–,Future-OEM,–,–,"Sector A Y2 target (D2 §10). Also IELTS test owner partner."
Publishers,A.pub.oup,Oxford University Press (OUP),Publisher — EFL/ELT,https://elt.oup.com/,Director of ELT Publishing,–,Future-OEM,–,–,"UK-HQ EFL publisher."
Publishers,A.pub.pearson,Pearson Education,Publisher + PTE test owner + EFL/ELT,https://www.pearsonelt.com/,Director of ELT Publishing,–,Future-OEM,–,–,"UK-HQ EFL publisher. Also Test Owner (PTE)."
Publishers,A.pub.macmillan,Macmillan Education,Publisher — EFL/ELT,https://www.macmillaneducation.com/,Director of ELT Publishing,–,Future-OEM,–,–,"UK-HQ EFL publisher. Sector A Y2 target."
Publishers,A.pub.collins,Collins (HarperCollins),Publisher — EFL/ELT,https://www.collins.co.uk/category/ELT,Director of ELT,–,Future-OEM,–,–,"UK-HQ EFL publisher (HarperCollins Education)."
Publishers,A.pub.hodder,Hodder Education,Publisher — EFL/ELT,https://www.hoddereducation.co.uk/,Director of ELT,–,Future-OEM,–,–,"UK-HQ educational publisher."
Publishers,A.pub.garnet,Garnet Education,Publisher — EAP/EFL,https://www.garneteducation.com/,Publishing Director,–,Future-OEM,–,–,"UK-HQ EAP / EFL publisher; pathway-aligned."
Pathways,C.path.into,INTO University Partnerships,Pathway provider — pre-sessional + foundation,https://www.intostudy.com/,Director of Recruitment / Director of Academic Partnerships,–,Future-OEM,–,–,"Sector C P2 (D2 §10). UK-HQ pathway operator."
Pathways,C.path.kaplan_ipw,Kaplan International Pathways,Pathway provider — foundation + pre-sessional,https://www.kaplanpathways.com/,Director of Pathways,–,Future-OEM,–,–,"Sector C P2."
Pathways,C.path.study_group,Study Group,Pathway provider — international student progression,https://www.studygroup.com/,Director of Pathways,–,Future-OEM,–,–,"Sector C P2."
Pathways,C.path.navitas,Navitas UK,Pathway provider — pre-sessional + foundation,https://www.navitas.com/,Regional Director,–,Future-OEM,–,–,"Sector C P2 (UK arm of Australian-HQ group)."
Pathways,C.path.oxford_intl,Oxford International Education Group,Pathway provider — pre-sessional + summer school,https://www.oxfordinternational.com/,Director of Higher Education,–,Future-OEM,–,–,"Sector C P2. UK-HQ."
Pathways,C.path.ceg,Cambridge Education Group (CEG / ONCAMPUS),Pathway provider — foundation + diploma,https://www.ceg-uk.com/,Director of Pathways,–,Future-OEM,–,–,"Sector C P2. UK-HQ. ONCAMPUS brand."
Pathways,C.path.qa_he,QA Higher Education,Pathway provider — partner-campus operator,https://www.qahighereducation.com/,Director of Partnerships,–,Future-OEM,–,–,"Sector C P2. UK-HQ."
TestOwners,A.test.british_council,British Council,IELTS partner (administration + GT),https://www.britishcouncil.org/exam/ielts,Head of Exams Partnerships,–,Future-OEM,–,–,"One of 3 IELTS Partners. Administers IELTS in 100+ countries."
TestOwners,A.test.idp,IDP IELTS,IELTS partner (administration + Academic),https://www.idp.com/global/ielts/,Head of Partnerships,–,Future-OEM,–,–,"One of 3 IELTS Partners. Australian-HQ but UK-active."
TestOwners,A.test.cambridge_ielts,Cambridge UP&A (IELTS arm),IELTS partner (test design + ownership),https://www.cambridgeenglish.org/exams-and-tests/ielts/,Director of Cambridge English,–,Future-OEM,–,–,"One of 3 IELTS Partners. Also Publisher (see Publishers tab)."
TestOwners,A.test.cbla,Cambridge Boxhill Language Assessment (CBLA),Test owner (OET),https://www.occupationalenglishtest.org/,Director of Assessment,–,Future-OEM,–,–,"Owns OET. Healthcare-contextualised English test — direct adjacency to Sector B."
TestOwners,A.test.pearson_pte,Pearson (PTE Academic),Test owner (PTE),https://www.pearsonpte.com/,Head of PTE,–,Future-OEM,–,–,"Pearson Test of English. Also Publisher (see Publishers tab)."
TestOwners,A.test.duolingo,Duolingo (DET),Test owner (DET),https://englishtest.duolingo.com/,Head of Partnerships,–,–,–,–,"Duolingo English Test. US-HQ; UK-active. Lower price point."
TestOwners,A.test.ets,Educational Testing Service (ETS),Test owner (TOEFL),https://www.ets.org/toefl,Head of TOEFL Partnerships,–,–,–,–,"US-HQ. TOEFL. Tertiary priority for Sector B (TOEFL not accepted by NMC)."
CPD,B.cpd.nmc,Nursing and Midwifery Council (NMC) revalidation,CPD — health regulator-mandated,https://www.nmc.org.uk/revalidation/,Director of Strategy,–,–,–,–,"Sector G (CPD meta-sector). Cross-listed with Regulators tab."
CPD,B.cpd.gmc,General Medical Council (GMC) revalidation,CPD — health regulator-mandated,https://www.gmc-uk.org/revalidation/,Director of Strategy,–,–,–,–,"Sector G. Cross-listed."
CPD,B.cpd.hcpc,HCPC re-registration CPD,CPD — health regulator-mandated,https://www.hcpc-uk.org/cpd/,Director of Strategy,–,–,–,–,"Sector G. Cross-listed."
CPD,G.cpd.icaew,Institute of Chartered Accountants England & Wales (ICAEW),CPD — accountancy chartered body,https://www.icaew.com/,Head of CPD,–,–,–,–,"Sector G. ~150 k UK members."
CPD,G.cpd.acca,Association of Chartered Certified Accountants (ACCA),CPD — accountancy chartered body,https://www.accaglobal.com/,Head of CPD,–,–,–,–,"Sector G. ~250 k UK + global members. Also a Sector D one-shot exam owner (overlap)."
CPD,G.cpd.cima,Chartered Institute of Management Accountants (CIMA),CPD — accountancy chartered body,https://www.cimaglobal.com/,Head of CPD,–,–,–,–,"Sector G. Part of AICPA-CIMA association."
