metric_id,sector,metric_name,value_ww,value_uk,unit,source_name,source_url,as_of_date,confidence,notes
A.IELTS.ww_sittings,A,WW IELTS annual sittings,~3.5 m,–,test sittings / yr,IELTS Partners — Test Taker Performance Report,https://www.ielts.org/teaching-and-research/test-statistics/test-taker-performance,2022/23,V,"Source: D2 §11. Annual aggregate across Academic + General Training."
A.market.ww_prep_total,A,WW IELTS prep market,£2–3 bn,–,GBP / yr,Grand View Research 2024 (PDF in HFF Drive),–,2024,V,"Source: D2 §11. URL TBD — source held in HFF Drive PDF; replace with the GVR public landing page during verification week."
A.market.uk_tam,A,UK Adult Language Cert TAM (IELTS / OET / TOEFL / PTE / DET),£2–3 bn (= ww_prep_total),£300–500 m,GBP / yr,D2 portfolio table §3,–,2025,V/E,"UK figure is contracted spend; WW figure is total prep market."
B.market.uk_tam,B,UK Health & Care Pro Registration TAM,–,£180–290 m,GBP / yr,D2 §4.4 bottom-up build,–,2025,E,"V on inputs; total is estimate. Cross-checked against NAO £200 m + NHS Confed unit costs."
C.market.uk_tam,C,UK University-bound Journey TAM (pathway + pre-sessional),–,£400–600 m,GBP / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
C.market.ww_he_intl_student_spend,C,WW HE international student spend,"$30–50 bn",–,USD / yr,D2 portfolio table §3,–,2025,V,"Cross-check — total HE intl spend, not pure pathway."
D.market.uk_tam,D,UK Regulated Pro Exams one-shot portfolio TAM (PLAB / SQE / MRCP / ACCA / NEBOSH),–,~£500 m,GBP / yr,D2 portfolio table §3,–,2025,E,"Source: D2 §3."
D.market.ww_tam,D,WW Regulated Pro Exams portfolio TAM,"$5–8 bn",–,USD / yr,D2 portfolio table §3,–,2025,E,"Source: D2 §3."
E.market.uk_tam,E,UK Corporate Compliance Training TAM,–,£2–4 bn,GBP / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
E.market.ww_tam,E,WW Corporate Compliance Training TAM,"$30–40 bn",–,USD / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
F.market.uk_tam,F,UK K-12 Mainstream TAM,–,£1.5 bn,GBP / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
F.market.ww_tam,F,WW K-12 Mainstream TAM,"$20 bn+",–,USD / yr,D2 portfolio table §3,–,2025,V,"Source: D2 §3."
G.market.uk_tam,G,UK CPD Meta-sector TAM,–,£1.5–7.6 bn,GBP / yr,D2 portfolio table §3,–,2025,E,"Wide range reflects definitional uncertainty across CPD-mandated bodies. Tighten in D3."
B.NMC.register_total,B,NMC register total,–,826 k,registrants,NMC Annual Register Report,https://www.nmc.org.uk/about-us/reports-and-accounts/registration-statistics/,2025-03,V,"Nurses + midwives + nursing associates."
B.NMC.intl_joiners,B,NMC international joiners per year,–,22–26 k,joiners / yr,NMC Annual Report 2023/24 + Quarterly Reports,https://www.nmc.org.uk/about-us/reports-and-accounts/,2023–25,V,"Source: D2 §4.2 + §11."
B.GMC.register_total,B,GMC register total,–,334 k,registrants,GMC State of Medical Education and Practice (SoMEP) 2024,https://www.gmc-uk.org/about/what-we-do-and-why/data-and-research/the-state-of-medical-education-and-practice-in-the-uk,2024,V,"Doctors."
B.GMC.intl_joiners,B,GMC international joiners per year,–,14–16 k,joiners / yr,GMC SoMEP 2024,https://www.gmc-uk.org/about/what-we-do-and-why/data-and-research/the-state-of-medical-education-and-practice-in-the-uk,2024,V,"Of which PLAB ~3 k per year."
B.GMC.plab_candidates,B,GMC PLAB cohort per year,–,~3 k,candidates / yr,GMC SoMEP 2024,https://www.gmc-uk.org/about/what-we-do-and-why/data-and-research/the-state-of-medical-education-and-practice-in-the-uk,2024,V,"PLAB = Professional and Linguistic Assessments Board."
B.HCPC.register_total,B,HCPC register total,–,340 k,registrants,HCPC Annual Report,https://www.hcpc-uk.org/resources/reports/,2024,V,"Covers 15 allied health professions."
B.HCPC.intl_joiners,B,HCPC international joiners per year,–,5–7 k,joiners / yr,HCPC Annual Stats 2024,https://www.hcpc-uk.org/resources/reports/,2024,V,"Source: D2 §4.2."
B.GPhC.register_total,B,GPhC register total,–,70 k,registrants,GPhC Annual Report 2024,https://www.pharmacyregulation.org/about-us/who-we-are/reports,2024,V,"Pharmacists."
B.GPhC.intl_joiners,B,GPhC international joiners per year,–,1–2 k,joiners / yr,GPhC Annual Report 2024,https://www.pharmacyregulation.org/about-us/who-we-are/reports,2024,V,"Source: D2 §4.2."
B.GDC.register_total,B,GDC register total,–,120 k,registrants,GDC Annual Report 2024,https://www.gdc-uk.org/about-us/who-we-are/our-reports,2024,V,"Dentists."
B.GDC.intl_joiners,B,GDC international joiners per year,–,1–2 k,joiners / yr,GDC Annual Report 2024,https://www.gdc-uk.org/about-us/who-we-are/our-reports,2024,V,"Source: D2 §4.2."
B.SWE.register_total,B,SWE register total,–,100 k,registrants,SWE Annual Report 2024,https://www.socialworkengland.org.uk/about/our-publications/,2024,V,"Social workers."
B.SWE.intl_joiners,B,SWE international joiners per year,–,2–4 k,joiners / yr,SWE Annual Report 2024,https://www.socialworkengland.org.uk/about/our-publications/,2024,V,"Source: D2 §4.2."
B.smaller_regulators.register_total,B,Smaller-body register total (GOC + GOsC + GCC),–,~40 k,registrants,Individual body annual reports,–,2024,V,"GOC = General Optical Council; GOsC = General Osteopathic Council; GCC = General Chiropractic Council. URLs TBD."
B.regulators.total_register,B,Total Sector B regulator register,–,~1.83 m,registrants,D2 §4.2 rollup,–,2024–25,V,"Sum of all 9 statutory regulators."
B.regulators.total_intl_joiners,B,Total Sector B international joiners per year,–,~50–60 k,joiners / yr,D2 §4.2 rollup,–,2024–25,V,"Sum across regulators."
B.NMC.english_prep_tam,B,UK NMC nurse English-prep TAM,–,£50–110 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 45 k × £1,200 (base) → 50 k × £2,200 (upper)."
B.OSCE.prep_tam,B,UK NMC OSCE clinical-prep TAM,–,£40–60 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 25 k × £1.5–2.5 k. Flagged for verification: OSCE TAM."
B.CBT.prep_tam,B,UK NMC CBT knowledge-prep TAM,–,£10–20 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 25 k × £400–800."
B.HCPC.english_prep_tam,B,UK HCPC AHP English-prep TAM,–,£6 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 5 k × £1,200."
B.GMC.plab_prep_tam,B,UK GMC PLAB English+exam-prep TAM,–,£6 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 3 k × £2,000."
B.social_care.english_prep_tam,B,UK social-care-worker English-prep TAM,–,£18 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 30 k × £600."
B.adaptation.first_year_tam,B,UK first-year adaptation / preceptorship TAM,–,£50–75 m,GBP / yr,D2 §4.4 bottom-up,–,2025,E,"Build: 25 k × £2–3 k."
